target,feature_group,fold,model,candidate,rmse,mae,directional_accuracy,rows
PTBA.JK,E1,fold1,transformer,lookback10_d32_heads4_ff64,0.03586351689929849,0.024449378971447243,0.5413223140495868,242
PTBA.JK,E1,fold2,transformer,lookback10_d32_heads4_ff64,0.022067802638378934,0.016257345210760832,0.44129554655870445,247
PTBA.JK,E1,fold3,transformer,lookback10_d32_heads4_ff64,0.023102379395868514,0.01601085797490787,0.4959349593495935,246
PTBA.JK,E2,fold1,zero_return_naive,,0.03641541495102858,0.024780593794197357,0.07851239669421488,242
PTBA.JK,E2,fold1,xgboost,depth2_lr005,0.03554962000501624,0.024756399946336296,0.5082644628099173,242
PTBA.JK,E2,fold1,xgboost,depth3_lr003,0.03546241613521837,0.02495169848708239,0.512396694214876,242
PTBA.JK,E2,fold2,zero_return_naive,,0.021932072031029953,0.016053328058668898,0.11740890688259109,247
PTBA.JK,E2,fold2,xgboost,depth2_lr005,0.022152246420459393,0.016379005168205035,0.4251012145748988,247
PTBA.JK,E2,fold2,xgboost,depth3_lr003,0.02227951283165858,0.01652373579624868,0.41295546558704455,247
PTBA.JK,E2,fold3,zero_return_naive,,0.02301135715103642,0.01592736084936993,0.07317073170731707,246
PTBA.JK,E2,fold3,xgboost,depth2_lr005,0.02370756016451566,0.016351489510116682,0.44308943089430897,246
PTBA.JK,E2,fold3,xgboost,depth3_lr003,0.023913285599229533,0.016452614394999947,0.45528455284552843,246
PTBA.JK,E2,fold1,gru,lookback5_hidden16,0.03582583309362887,0.024674931226475242,0.5,242
PTBA.JK,E2,fold2,gru,lookback5_hidden16,0.02200460163785155,0.016252784714289387,0.44129554655870445,247
PTBA.JK,E2,fold3,gru,lookback5_hidden16,0.022884252581554985,0.01588591509399277,0.5203252032520326,246
PTBA.JK,E2,fold1,gru,lookback10_hidden32,0.03561892675750507,0.02471142877682212,0.48760330578512395,242
PTBA.JK,E2,fold2,gru,lookback10_hidden32,0.022057643373533078,0.016202235643880118,0.41700404858299595,247
PTBA.JK,E2,fold3,gru,lookback10_hidden32,0.022895871200704247,0.015895957816477364,0.5121951219512195,246
PTBA.JK,E2,fold1,transformer,lookback5_d16_heads2_ff32,0.03627288518381956,0.025129088086378183,0.4834710743801653,242
PTBA.JK,E2,fold2,transformer,lookback5_d16_heads2_ff32,0.021863975425002718,0.01619231085050738,0.46558704453441296,247
PTBA.JK,E2,fold3,transformer,lookback5_d16_heads2_ff32,0.023329001628678223,0.01618049242741966,0.5,246
PTBA.JK,E2,fold1,transformer,lookback10_d32_heads4_ff64,0.0361550112983275,0.024966725285361282,0.45454545454545453,242
PTBA.JK,E2,fold2,transformer,lookback10_d32_heads4_ff64,0.021911920006384276,0.016167861971059655,0.46963562753036436,247
PTBA.JK,E2,fold3,transformer,lookback10_d32_heads4_ff64,0.02283341662423311,0.015820947097381577,0.516260162601626,246
PTBA.JK,E3,fold1,zero_return_naive,,0.03641541495102858,0.024780593794197357,0.07851239669421488,242
PTBA.JK,E3,fold1,xgboost,depth2_lr005,0.03565325920668258,0.02476619009227069,0.5206611570247934,242
PTBA.JK,E3,fold1,xgboost,depth3_lr003,0.036490894990981154,0.02517590965209526,0.5,242
